"Years","1SW","MSW","Total"
1984,123,17,140
1985,62,36,98
1986,215,31,246
1987,142,36,178
1988,67,19,86
1989,151,36,187
1990,195,31,226
1991,113,33,146
1992,154,42,196
1993,339,30,369
1994,235,32,267
1995,150,35,185
1996,150,36,186
1997,101,10,111
1998,133,7,140
1999,115,21,136
2000,108,24,132
2001,144,18,162
2002,258,28,286
2003,23,50,73
2004,67,15,82
2005,63,10,73
2006,29,20,49
2007,47,11,58
2008,41,20,61
2009,38,16,54
2010,115,17,132
2011,35,34,69
2012,38,12,50
2013,63,34,97
2014,38,37,75
2015,30,27,57
2016,35,18,53
2017,57,13,70
2018,22,22,44
