"Years","1SW","MSW","Total"
1984,151,27,178
1985,201,64,265
1986,72,57,129
1987,35,3,38
1988,151,75,226
1989,196,39,235
1990,22,8,30
1991,44,2,46
1992,30,5,35
1993,95,8,103
1994,33,4,37
1995,120,3,123
1996,127,3,130
1997,57,1,58
1998,60,6,66
1999,148,19,167
2000,81,6,87
2001,155,9,164
2002,129,19,148
2003,172,27,199
2004,246,45,291
2005,103,10,113
2006,126,25,151
2007,174,14,188
2008,45,9,54
2009,43,12,55
2010,224,7,231
2011,116,35,151
2012,72,19,91
2013,121,26,147
2014,89,19,108
2015,47,23,70
2016,170,18,188
2017,77,12,89
2018,72,14,86
2019,97,16,113
2020,107,13,120
2021,67,17,84
2022,13,4,17
